fault-injection,ann,bandit-eps,bandit-opt,bayes-high,bayes-low,mlfq,qlearning,random,tableau
b1-abort,59.95,316.6,62,55.2,53.7,53.1,67.6,32.6,31.3
b1-delay,59.35,7.65,62,56.3,54,52.75,64.4,32.3,30.8
c1-abort,58.8,6.25,61,53.5,56.8,52.05,40.5,32.85,33.9
c1-delay,61.2,6.35,61,53.4,54.85,51.65,46.3,33.1,31.8
c2-abort,61.75,9.3,61.9,55.5,54.75,52.45,22.1,32.7,31.75
c2-delay,61.85,5.8,61.6,53.2,54.15,52.35,20.85,32.6,31.65
d1-abort,4.05,7.9,3,8.75,8.5,15.15,21.25,30.75,33.45
d1-delay,4.35,6.5,3,12.1,12.15,13.2,18.9,32.15,35.15
e1-abort,3.4,5.9,3,8.6,7.65,11.95,21,31.3,32.05
e1-delay,4.15,6,3.25,13.35,13.25,11.6,23.25,33.8,32.7
e2-abort,4.95,4.55,3,6.6,6.4,10.7,21.5,31.7,29.9
e2-delay,4.45,5.2,3.25,11.5,11.8,11.05,20.35,32.15,33.55
