fault-injection,ann,bandit-eps,bandit-opt,bayes-high,bayes-low,mlfq,qlearning,random,tableau
b1-abort,34.4,7.1,38,43.7,34.55,34.35,66.3,31.6,31.1
b1-delay,40,6.5,38,42.25,38.8,34.15,65.55,33,32.2
c1-abort,37.25,6.15,38,45.3,34.5,33.05,44.4,33,29.05
c1-delay,35.3,5.1,38,44.9,38.4,32.8,41.75,31.75,32.45
c2-abort,6.5,5.9,3,14.95,7.1,25.6,21.4,32.15,64.3
c2-delay,9.4,5.4,3.25,23.5,13.85,24.2,23.45,33.65,67.45
d1-abort,38.95,315.2,38.95,29.3,35.6,34.75,20.15,31.1,22.5
d1-delay,36.1,12,38.8,27.75,36.75,34.5,23.05,32.05,22.2
e1-abort,37.55,6.85,38,29.45,36.8,33.95,20.8,32.5,21
e1-delay,37.8,6.55,38,29,38.55,33.75,21.15,30.4,22.95
e2-abort,37.9,5.8,38,28.35,36.15,33.55,21.05,34.65,21.9
e2-delay,36.85,5.45,38,29.55,36.95,33.35,18.95,32.15,20.9
