fault-injection,ann,bandit-eps,bandit-opt,bayes-high,bayes-low,mlfq,qlearning,random,tableau
b1-abort,11.7,5.85,3,6.65,7.45,10,63.7,31.4,33.3
b1-delay,11.8,10.4,3.2,13.25,12.85,9.65,65.05,31.75,31.25
c1-abort,10.6,5.2,3,6.85,7.95,7.4,44.3,31.75,32.55
c1-delay,10.9,5.5,3.1,13.8,11.75,8,44.15,34.6,29.35
c2-abort,165.9,308.2,180.85,154.65,146.15,148.55,20.7,33.1,65.4
c2-delay,157.7,11.85,176.45,154.2,147.2,147.35,21.85,30.85,68.4
d1-abort,2.47,11.3,3,4.37,7.5,12.55,21.45,33.2,19.65
d1-delay,3.25,6.95,3.2,7.7,11.65,10.95,21.25,33.9,21.7
e1-abort,4.2,5.15,3,4.85,8.05,8.85,21,33.1,20.95
e1-delay,3.45,5.9,3.2,8.15,7.8,8.7,20.65,30.45,22.35
e2-abort,3,4.85,3,5.55,6.9,7.9,21.85,32.7,20.9
e2-delay,3.67,6.85,3,8.25,12.75,8.1,22.05,31.2,22.2
